N, jki, kji, jik, ijk, kij, ikj, frequency_GHz
50, 154724.000000, 154348.000000, 194606.000000, 189192.000000, 115234.000000, 115142.000000, 2.592305
100, 1346848.000000, 1324710.000000, 1795270.000000, 1807998.000000, 1001320.000000, 1026622.000000, 2.592305
150, 5274878.000000, 5133104.000000, 6822704.000000, 6858442.000000, 3467490.000000, 3372326.000000, 2.592305
200, 13317738.000000, 13305496.000000, 16723598.000000, 16762898.000000, 8487728.000000, 8104458.000000, 2.592305
250, 26642870.000000, 26392310.000000, 33584516.000000, 34122196.000000, 16579344.000000, 15921850.000000, 2.592305
300, 58488826.000000, 59352588.000000, 58901160.000000, 59270552.000000, 28660794.000000, 27516328.000000, 2.592305
350, 106654456.000000, 108094298.000000, 94388532.000000, 95307620.000000, 44859424.000000, 43207930.000000, 2.592305
400, 192049372.000000, 196708932.000000, 142775284.000000, 145573178.000000, 66550284.000000, 63955926.000000, 2.592305
450, 231004204.000000, 233266892.000000, 193899110.000000, 204917052.000000, 94574146.000000, 92482920.000000, 2.592305
500, 314888746.000000, 318199706.000000, 279169314.000000, 280340152.000000, 128414764.000000, 125931356.000000, 2.592305
550, 422801934.000000, 431460068.000000, 373048888.000000, 375070716.000000, 170509462.000000, 164355822.000000, 2.592305
600, 564410546.000000, 580372836.000000, 486618978.000000, 489331172.000000, 218203170.000000, 213331268.000000, 2.592305
650, 852343332.000000, 844299570.000000, 620083100.000000, 621574376.000000, 290549986.000000, 271715840.000000, 2.592305
700, 1255133544.000000, 1262663750.000000, 775942168.000000, 776899180.000000, 365429044.000000, 341419102.000000, 2.592305
